,ingredient,name,url
39,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,1 large sweet onion
40,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,vegetable oil
41,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,salt and pepper
42,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,4 hamburger buns
43,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,lettuce leaves
44,http://www.beefitswhatsfordinner.com/recipes/recipe/1080/burgers-with-grilled-onions,burgers with grilled onions,tomato slices
45,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1 pound ground beef 
46,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,2 tablespoons chopped fresh parsley
47,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1/8 teaspoon salt
48,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,1/8  teaspoon  pepper
49,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,4 large portobello mushrooms
50,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,4 slices  french bread
51,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,2 ounces  goat cheese 
52,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,4 romaine lettuce leaves
53,http://www.beefitswhatsfordinner.com/recipes/recipe/1104/mushroom-merlot-burger,mushroom merlot burger,chopped fresh parsley 
